intitule_poste,nom_entreprise,ville_region,date_publication,type_contrat,experience_demandee,niveau_seniorite,description_poste,source_offre,teletravail,competences_mentionnees,fourchette_salaire,metier_recherche,id_offre
Développeur C embarqué - Domaine des systèmes durcis (H/F),SILKHOM,91 - Massy,2025-11-25T18:04:23.304Z,CDI,Débutant accepté,Junior,"Notre client est spécialisé dans le domaine des systèmes embarqués en environnement durci. La société propose à des clients dans les secteurs de la défense, l'aéronautique, ou encore l'aérospatial, des produits matériels et logiciels sur-mesure. 
 
Dans le cadre de la réalisation d'une application multi domaines et multi capteurs permettant d'interfacer des équipements avec plusieurs capteurs, de différentes natures, visant à rapatrier des informations de géolocalisation, la société recherche un développeur logiciel embarqué (middleware).

Descriptif mission :

Rattaché à une équipe de 8 personnes et plus particulièrement au sein de l'équipe logiciel composée de 3 développeurs, vous travaillerez au développement et à l'amélioration de logiciel de validation ligne de produit sur les calculateurs. Vos missions seront les suivantes :
 
- Vous participez à l'évolution des exigences systèmes et en matière d'architecture 
- Vous participerez à la rédaction des documents de spécifications de conception et de tests unitaires
- Vous développerez en langage C/C++ embarqué, les drivers Linux 
- Vous développerez les fonctionnalités logicielles, sur cible MPSoC, embarquant du temps réel
- Vous rédigez et suivi les plans de validation et les tests qui y sont associés
 
Environnement technique : C/C++, linux embarqué, Yocto, Python
 
Pourquoi postuler ?
- Accompagnez des projets nécessaires à la protection et à la défense du territoire français et de l'Europe
- Vous travaillerez sur un tout nouveau projet de développement d'une nouvelle famille de produits pour un client historique 
- Rejoignez une entreprise stable financièrement et soutenue par des acteurs majeurs du secteur de la défense et de - --l'aéronautique, leur permettant d'avoir un carnet de commandes plein jusqu'en 2027.

Profil du candidat :
- Vous avez une première expérience en développement C ou C/C++ embarqué (la connaissance du développement middleware est obligatoire)
- La connaissance de Linux est obligatoire
- Une première expérience de Yocto est un plus
- De par le caractère secret défense de certains projets, vous devez être en mesure d'être habilitable défense

Complément du poste :
- Lieu : Massy (91)
- Contrat : CDI
- Salaire : 40 - 50K€ (selon profil et expérience)",https://candidat.francetravail.fr/offres/recherche/detail/200TVZN,Non,"python, c++, c, r, linux, ai",Annuel de 40000.0 Euros à 50000.0 Euros sur 12.0 mois,développeur,200TVZN
Developpeur Fullstack Java / Angular H/F (H/F),STEP UP NANTES,44 - NANTES,2025-11-25T15:37:12.545Z,CDI,4 An(s),Confirmé,"Missions
Développement : participer à la conception et à la réalisation de nouvelles fonctionnalités à l'aide des technologies Java Quarkus et Angular.
Automatisation des déploiements : mettre en place et maintenir des processus de déploiement automatisés en s'appuyant sur Concourse CI et Kubernetes (K8S).
Maintenance et amélioration continue : optimiser les chaînes CI/CD afin d'en améliorer la rapidité, la stabilité et l'efficacité. Identifier des axes d'optimisation du code et de l'architecture, et proposer des évolutions techniques pour renforcer la performance globale.
Agilité : participer activement aux rituels Scrum (réunions quotidiennes, planification, revues de sprint, rétrospectives, sessions de refinement).
Qualité et tests : contribuer à la mise en place et à l'optimisation des tests automatisés, couvrant aussi bien les tests unitaires que les tests d'intégration. Travailler en collaboration avec les testeurs pour garantir une excellente couverture de test et une livraison de qualité.

Profil recherché
Autonomie, esprit d'initiative, sens du travail collaboratif, capacité à partager les bonnes pratiques et à effectuer une veille technologique régulière.

Compétences complémentaires appréciées
Familiarité avec l'outil JIRA pour le suivi des tâches et la gestion de projet Agile.

Environnement technique
Java Quarkus et Angular, méthodes Agiles, Concourse CI, Kubernetes.

Lieu : Nantes",https://candidat.francetravail.fr/offres/recherche/detail/200TQGK,Non,"java, c, r, angular, vue, kubernetes, agile, scrum, jira, ci/cd, ai",Annuel de 35000.0 Euros à 50000.0 Euros sur 12.0 mois,développeur,200TQGK
Développeur / Développeuse full-stack (H/F),TECH IN FRANCE,75 - Paris (Dept.),2025-11-25T15:06:02.674Z,CDI,5 An(s),Non spécifié,"Tech In France éditeur de logiciels applicatifs, basé à Paris, recherche des développeurs-euses Full-Stack pour renforcer ses équipes et participer à la conception, au développement et à l'évolution de ses solutions logicielles. 

Une période d'immersion ou de stage dans le cadre d'une Préparation Opérationnelle à l'Emploi, précédant l'embauche pourrait être proposée.

Poste 100% télétravail.

Missions principales : 
- Développer et maintenir des applications front-end et back-end 
- Concevoir et intégrer des APIs performantes et sécurisées 
- Travailler sur des projets utilisant Laravel, Tailwind CSS et JavaScript
- Gérer et optimiser les bases de données 
- Collaborer avec les autres équipes (design, produit, infrastructure) 

- Compétences techniques :
- Maîtrise des environnements front-end / back-end 
- Maîtrise de Laravel, Tailwind CSS, développement d'APIs, JavaScript et bases de données 

",https://candidat.francetravail.fr/offres/recherche/detail/200TPBM,Oui,"java, javascript, c, r, css, tailwind, laravel, ai",Mensuel de 2000.00 Euros à 2800.00 Euros sur 12 mois,développeur,200TPBM
Développeur Sénior C++ Linux embarqué (H/F),EVBOX,33 - LEOGNAN,2025-11-25T13:55:40.000Z,CDI,8 An(s),Senior,"Un développeur senior C/C++ embarqué généraliste.

Au sein de l'équipe Software Linux, votre mission sera :

Développer, maintenir et faire évoluer des modules logiciels clés garantissant la performance du produit.
Contribuer au développement, à la maintenance et à l'évolution d'un module de communication entre chargeur et véhicules (ISO15118).
Renforcer et optimiser un module stratégique dédié à la supervision distante du chargeur (OCPP).
Identifier, analyser et résoudre les bugs et incidents rencontrés.
Assurer une veille technologique sur les normes telles que ISO15118 ou OCPP.
Développer des tests unitaires et fonctionnels.
Tester les fonctionnalités développées en laboratoire sur le produit final.
Rédiger des spécifications et de la documentation sur votre travail.
Collaborer avec les autres membres de l'équipe (définition de l'architecture, intégration, décisions techniques, .)

Profil recherché : vous êtes la personne que nous recherchons si vous avez :

Une formation bac +4/+5 en développement logiciel embarqué
Une expérience de 8 ans minimum sur un poste d'ingénieur informatique/embarqué Linux en C/C++


Pour réussir à ce poste, il vous faut impérativement les compétences techniques suivantes :

la maîtrise des langages C/C++ sous Linux
usage courant des solutions open source
une bonne maitrise des communications TCP/UDP IP sur Ethernet
expérience des solutions cryptographiques modernes appliquées aux communications réseaux
la maîtrise de l'anglais technique oral et écrit


D'autres compétences techniques sont un vrai plus pour votre candidature :

connaissance des protocoles ISO15118, OCPP
connaissance de Yocto
connaissance de Git
connaissance de Jira


Pour briller, vous aurez aussi besoin d'utiliser certaines compétences comportementales, en particulier votre :

bonne communication en français et en anglais
grande flexibilité et forte adaptabilité
intérêt marqué pour les systèmes embarqués
curieux, rigoureux et persévérant
autonome avec esprit d'initiative et sens du collectif
approche rigoureuse et méthodique des systèmes techniques",https://candidat.francetravail.fr/offres/recherche/detail/200TLMM,Non,"c++, c, go, r, git, linux, jira, ai",Mensuel de 45000.0 Euros à 55000.0 Euros sur 12.0 mois,développeur,200TLMM
Java Développeur DevOps (H/F),EVER TEAM SOFTWARE,69 - LYON 04,2025-11-25T13:41:24.536Z,CDI,36 Mois,Senior,"Ce poste vous permettra de travailler dans un environnement de développement logiciel agile (Scrum).
Vous participerez à influer sur la stratégie de développement Saas de l'offre Everteam plateforme discover.
Vous serez amené(e) à travailler en étroite collaboration avec le directeur de l'engineering, le lead dev, les architectes, le product management, le responsable support (sur la partie documentation en particulier).  

Le poste est basé à notre siège social à Lyon 4ème et requiert une première expérience professionnelle d'au moins 3 années avec une expérience en sécurité Web et applicative.

 La mission dans le détail : 
- Vous travaillerez sur le volet technique de la satisfaction de l'offre technologies Docker/Kubernetes 
- Participer à la réalisation des spécifications techniques, et effectuer la réalisation technique et le développement nécessaires au sein des applications
- Automatiser les processus pour améliorer l'efficacité et la stabilité
- Définir une politique de sécurité pour notre gamme de logiciels et garantir sa mise en œuvre
- Analyser les risques et connaître la vulnérabilité de nos solutions.
- Effectuer les tests de conformité préalables aux livraisons
- Effectuer les programmations, intégrations des services tiers, et réaliser des tests unitaires
- Assurer la pérennisation de nos applications par la maintenance corrective et évolutive.
- Sensibiliser les collaborateurs aux enjeux de la sécurité
- Assurer une veille constante, afin de proposer les évolutions nécessaires pour maintenir le meilleur niveau de sécurité possible",https://candidat.francetravail.fr/offres/recherche/detail/200TKYS,Non,"c, r, docker, kubernetes, agile, scrum, ai",Annuel de 48000.0 Euros à 53000.0 Euros sur 12.0 mois,développeur,200TKYS
Développeur senior H/F (H/F),M.G.F. SPORTS,63 - Aubière,2025-11-25T13:10:54.736Z,CDI,3 An(s),Non spécifié,"Vous participerez activement à la conception, au développement et à la maintenance d'applications web complètes. Curieux <http://Curieux.se>, autonome et rigoureux <http://rigoureux.se>, vous intervenez aussi bien sur le backend que sur le frontend, et contribuez à la qualité globale du produit.

Vous travaillerez en collaboration avec les équipes techniques et métiers pour concevoir des solutions performantes, robustes et maintenables.

Principales missions :

 * Participer à l'analyse des besoins et à la conception technique des projets.
 * Développer des fonctionnalités backend en PHP / Symfony et frontend.
 * Concevoir et faire évoluer des API (API Platform, REST, GraphQL).
 * Garantir la qualité du code (tests, revues, documentation).
 * Participer à l'intégration continue et aux déploiements (CI/CD).
 * Veiller à la sécurité, à la performance et à la maintenabilité des applications.
 * Collaborer avec les équipes métiers pour proposer des solutions pragmatiques et efficaces.
 * Être force de proposition sur les bonnes pratiques et les évolutions techniques.

Compétences :

 * Langages et frameworks : PHP 8+, Symfony 6+, Bootstrap.
 * Bases de données : MySQL, PostgreSQL.
 * API & communication : API Platform, REST, JSON, RabbitMQ.
 * Outils & environnement : Docker, GitLab CI/CD, Kubernetes.
 * Architecture : microservices, architectures orientées événements.
 * Bonus appréciés : Elasticsearch, MongoDB, ReactJS, GraphQL.


 * Diplômé-e d'un Bac+3 à Bac+5 en informatique ou équivalent.
 * Expérience d'au moins 3 ans en développement web full stack.
 * Vous aimez écrire du code propre, testé et maintenable.
 * Vous appréciez le travail en équipe et la collaboration technique.
 * Vous avez une curiosité naturelle pour les nouvelles technologies et les bonnes pratiques.",https://candidat.francetravail.fr/offres/recherche/detail/200TKBD,Non,"c, php, go, r, bootstrap, react, vue, symfony, sql, mysql, postgresql, mongodb, elasticsearch, docker, kubernetes, gitlab, git, ci/cd, graphql, microservices, ai, ios",Annuel de 30000.0 Euros à 39998.0 Euros sur 12.0 mois,développeur,200TKBD
Développeur Informatique - Système de Gestion F/H (H/F),CAP INGELEC SA,33 - Bordeaux,2025-11-25T13:02:01.367Z,CDI,5 An(s),Non spécifié,"Intégré(e) à l'équipe digitalisation au sein de notre agence de Mérignac (33), votre objectif est de créer des solutions performantes et durables pour accompagner notre transformation digitale.

Sous la responsabilité du Responsable Digitalisation et en étroite collaboration avec le Directeur de la Performance opérationnelle, vous jouerez un rôle clé dans la conception, le développement et l'optimisation de notre logiciel de gestion analytique interne.

Ce que vous ferez au quotidien :

 * Participer activement à la stratégie de mise en œuvre Data et logicielle,
 * Concevoir et développer de nouveaux modules interfacés avec nos outils et bases existantes (Access/VBA, Azure SQL, Python.),
 * Moderniser et homogénéiser nos bases de données, tout en proposant des innovations et des améliorations fonctionnelles,
 * Assurer la maintenance et l'évolution des applications pour garantir leur fiabilité et leur performance,
 * Collaborer avec les équipes internes (DSI, clients internes) et accompagner les utilisateurs via des formations adaptées.

Issu(e) d'une formation en informatique (BTS SIO, BUT Informatique.) ou autodidacte expérimenté(e), vous êtes passionné(e) par le développement et maîtrisez les langages VBA, Python et C#, ainsi que les bases de données Access et SQL. Une connaissance de Power BI et un Anglais technique sont des atouts appréciés.

Curieux(se) et rigoureux(se), vous savez rédiger une documentation claire et travailler en équipe. Votre capacité à intégrer les processus métiers et votre goût pour l'innovation seront des atouts essentiels.

Envie de relever des défis techniques d'envergure ? Postulez dès maintenant !

CAP INGELEC s'engage en faveur de l'inclusion, de l'égalité hommes-femmes et de l'emploi des personnes en situation de handicap. Convaincus que la diversité est une richesse, nous garantissons un processus de recrutement inclusif et un cadre de travail accessible à toutes et tous.",https://candidat.francetravail.fr/offres/recherche/detail/200TJWP,Non,"python, c#, c, go, r, sql, azure, git, ai, power bi",,développeur,200TJWP
Lead développeur Java (H/F),HOLENEK INGENIERIE,44 - Nantes,2025-11-25T12:49:20.349Z,CDI,8 An(s),Senior,"Notre client lance un projet stratégique de refonte : fusionner deux logiciels historiques Java qui ont fait le succès de l'entreprise, en une nouvelle plateforme moderne et performante.

En tant que Lead Développeur(se) Java, vos missions seront de : 

 * Définir et piloter la vision technique (architecture, stack, standards de qualité et sécurité).
 * Encadrer et faire monter en compétences l'équipe de développeurs (coaching, code review, bonnes pratiques).
 * Assurer la qualité, la robustesse et la scalabilité des applications mises en production.
 * Travailler en lien avec le produit pour transformer les besoins business en solutions techniques viables.
 * Mettre en place et superviser les pipelines CI/CD, tests automatisés et outils de monitoring.
 * Réduire la dette technique et anticiper les risques (performance, sécurité, évolutivité).
 * Effectuer une veille technologique et initier des PoC pour stimuler l'innovation.

 * 9 ans d'expérience minimum sur un poste similaire
   
    Vos expertises, notre force commune
 * Maîtrise des architectures distribuées (microservices, APIs, cloud, bases de données à forte volumétrie).
 * Solides compétences en conception logicielle (design patterns, clean code, DDD, TDD/BDD).
 * Expérience confirmée en CI/CD, automatisation des tests et observabilité (monitoring, alerting, logging).
 * Connaissance approfondie des enjeux de sécurité applicative et de performance.
 * Capacité à choisir et challenger les stacks technologiques (front, back, data, DevOps).
 * Expérience dans la gestion de dette technique et dans la migration de systèmes complexes.
 * Maîtrise des méthodologies agiles et des outils collaboratifs (Scrum, Kanban, Git, Jira, etc.).

 Vos qualités humaines, nos valeurs partagées

 * Leadership naturel et capacité à fédérer une équipe autour d'une vision technique.
 * Excellent pédagogue, capable de faire progresser les développeurs de tout niveau.
 * Rigueur et sens des responsabilités, avec une forte orientation résultats.
 * Capacité à communiquer clairement avec des interlocuteurs techniques et non-techniques.
 * Esprit critique et force de proposition pour challenger le statu quo.
 * Résilience et capacité à gérer la pression dans un contexte exigeant.
 * Curiosité intellectuelle et goût pour l'innovation continue.",https://candidat.francetravail.fr/offres/recherche/detail/200TJSN,Non,"java, c, go, scala, r, git, agile, scrum, kanban, jira, ci/cd, tdd, bdd, microservices, ai, ios",Annuel de 45000.0 Euros à 55000.0 Euros sur 12.0 mois,développeur,200TJSN
Lead développeur (H/F),HOLENEK INGENIERIE,49 - Cholet,2025-11-25T12:48:17.894Z,CDI,7 An(s),Senior,"Dans le cadre du développement et de l'évolution d'applications web stratégiques, nous proposons un renfort de haut niveau via un(e) Lead Développeur(se) Ruby on Rails.
Le profil recherché assurera à la fois la conception technique, le pilotage du développement et la montée en compétence des équipes, tout en garantissant la qualité et la performance des livrables.


En tant que Lead Développeur(se), vos missions seront de : 

 * Encadrer et accompagner une équipe de développement sur les bonnes pratiques techniques (revues de code, pair programming, méthodologies agiles).
 * Concevoir, développer et maintenir des fonctionnalités complexes en Ruby on Rails.
 * Superviser le développement du front-end en Typescript/NuxtJS, en collaboration avec les développeurs spécialisés.
 * Participer aux choix d'architecture, à la veille technologique et à l'amélioration continue des environnements.
 * Garantir la robustesse, la sécurité et les performances de la plateforme.

 * 7 à 10 ans d'expérience minimum sur un poste similaire
   
    Vos expertises, notre force commune
 * Back-end : Ruby on Rails (expertise)
 * Front-end : Typescript, NuxtJS (Vue.js)
 * Architecture : conception d'API, performance, sécurité
 * Méthodologies : Agile/Scrum, bonnes pratiques de développement (tests, CI/CD, revues de code)



 Vos qualités humaines, nos valeurs partagées

 * Leadership naturel et goût pour la transmission de connaissances.
 * Capacité à fédérer et à accompagner une équipe dans la durée.
 * Rigueur et exigence technique, alliées à une forte capacité d'adaptation.
 * Excellente communication et orientation résultats.",https://candidat.francetravail.fr/offres/recherche/detail/200TJSB,Non,"typescript, c, ruby, go, r, vue, ruby on rails, agile, scrum, ci/cd, ai",Annuel de 45000.0 Euros à 55000.0 Euros sur 12.0 mois,développeur,200TJSB
Lead développeur (H/F),LE CNAM'IDS,51 - REIMS,2025-11-25T12:15:44.886Z,CDI,5 An(s),Senior,"Outre le développement d'applications sous Visual Studio, vous contribuerez à l'ensemble des phases des projets qui vous seront confiés :

- Analyse des besoins
- Etude des solutions techniques et des devis
- Elaboration des spécifications et estimation des charges induites
- Encadrement des développements externes ou internes
- Tests d'intégration",https://candidat.francetravail.fr/offres/recherche/detail/200THNQ,Non,"c, r",Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,développeur,200THNQ
